,,,LMP,,,,,,,,,,,,,,,CAJ,,,,,,,,,,,,,,
Listener,Sentence,#,KW1,KW1 (R),KW1 (S),KW2,KW2 (R),KW2 (S),KW3,KW3 (R),KW3 (S),KW4,KW4 (R),KW4 (S),KW5,KW5 (R),KW5 (S),KW1,KW1 (R),KW1 (S),KW2,KW2 (R),KW2 (S),KW3,KW3 (R),KW3 (S),KW4,KW4 (R),KW4 (S),KW5,KW5 (R),KW5 (S)
NAF004,67-10,37,cannot,1,1,brew,0,0,tea,0,0,cold,0,0,pot,0,0,cannot,1,1,brew,0,0,tea,0,0,cold,0,0,pot,0,0
NAF004,06-04,38,show,1,1,flop,1,1,from,1,1,very,1,1,start,1,1,show,1,1,flop,1,1,from,1,1,very,1,1,start,1,1
NAF004,02-01,39,boy,1,1,there,1,1,when,1,1,sun,1,1,rose,1,0,boy,1,1,there,1,1,when,1,1,sun,1,1,rose,1,0
NAF004,31-04,40,pink,1,1,clouds,0,0,floated,1,1,with,1,1,breeze,1,1,pink,1,1,clouds,0,0,floated,1,1,with,1,1,breeze,1,1
NAF004,34-10,41,code,1,1,used,1,1,when,1,1,secrets,1,1,sent,0,0,code,1,1,used,1,1,when,1,1,secrets,1,1,sent,0,0
NAF004,41-09,42,no,1,1,hardship,1,1,seemed,1,1,make,0,0,sad,1,1,no,1,1,hardship,1,1,seemed,1,1,make,1,1,sad,1,1
NAF004,55-04,43,down,0,0,road,1,1,way,1,1,grain,0,0,farmer,0,0,down,0,0,road,1,1,way,1,1,grain,0,0,farmer,0,0
NAF004,22-08,44,write,0,0,once,0,0,may,0,0,forget,1,1,it,1,1,write,0,0,once,0,0,may,0,0,forget,1,1,it,1,1
NAF004,10-09,45,ten,1,1,pins,1,1,set,1,1,in,1,1,order,1,1,ten,1,1,pins,1,1,set,1,1,in,1,1,order,1,1
NAF004,23-08,46,jazz,0,0,swing,0,0,fans,0,0,fast,0,0,music,1,1,jazz,0,0,swing,0,0,fans,0,0,fast,0,0,music,1,1
NAF004,45-01,47,slice,1,1,sausage,1,1,thin,0,0,with,1,1,knife,1,1,slice,1,1,sausage,1,1,thin,0,0,with,1,1,knife,1,1
NAF004,45-08,48,drop,1,1,ashes,1,1,worn,1,1,old,1,1,rug,1,1,drop,1,1,ashes,1,1,worn,1,1,old,1,1,rug,1,1
NAF004,22-02,49,loss,1,1,second,1,1,ship,0,0,hard,1,1,take,1,1,loss,1,1,second,1,1,ship,0,0,hard,1,1,take,1,1
NAF004,65-03,50,sang,0,0,same,1,1,tunes,0,0,each,0,0,party,0,0,sang,0,0,same,1,1,tunes,0,0,each,0,0,party,0,0
NAF004,15-09,51,mud,1,1,spattered,1,1,front,1,1,white,1,1,shirt,1,1,mud,1,1,spattered,1,1,front,1,1,white,1,1,shirt,1,1
NAF004,01-07,52,box,1,1,thrown,0,0,beside,0,0,parked,0,0,truck,0,0,box,1,1,thrown,0,0,beside,0,0,parked,0,0,truck,0,0
NAF004,41-02,53,jerk,0,0,dart,1,0,from,0,0,cork,0,0,target,0,0,jerk,0,0,dart,1,0,from,0,0,cork,0,0,target,0,0
NAF004,22-07,54,hard,1,1,erase,1,1,blue,1,1,red,1,1,ink,1,1,hard,1,1,erase,1,1,blue,1,1,red,1,1,ink,1,1
NAF004,67-06,55,round,1,1,mat,1,1,cover,1,1,dull,1,1,spot,1,1,round,1,1,mat,1,1,cover,1,1,dull,1,1,spot,1,1
NAF004,24-02,56,pushed,1,1,back,1,1,each,1,1,time,1,1,attack,1,0,pushed,1,1,back,1,1,each,1,1,time,1,1,attack,1,0
NAF004,19-02,57,fairy,1,1,tales,1,1,should,1,1,fun,1,1,write,1,1,fairy,1,1,tales,1,1,should,1,1,fun,1,1,write,1,1
NAF004,23-09,58,rake,0,0,rubbish,0,0,up,0,0,burn,0,0,it,0,0,rake,0,0,rubbish,0,0,up,0,0,burn,0,0,it,0,0
NAF004,40-09,59,raise,1,1,sail,1,1,steer,1,1,ship,1,1,northward,1,0,raise,1,1,sail,1,1,steer,1,1,ship,1,1,northward,1,0
NAF004,40-06,60,desk,1,1,was,1,1,firm,1,1,shaky,1,1,floor,1,1,desk,1,1,was,1,1,firm,1,1,shaky,1,1,floor,1,1
NAF004,38-02,61,mark,1,1,spot,1,1,sign,1,1,painted,1,1,red,1,1,mark,1,1,spot,1,1,sign,1,1,painted,1,1,red,1,1
NAF004,06-09,62,place,1,1,rosebush,1,1,near,1,1,porch,1,1,steps,1,1,place,1,1,rosebush,1,1,near,1,1,porch,1,1,steps,1,1
NAF004,39-04,63,roads,1,1,paved,1,1,with,1,1,sticky,1,1,tar,1,1,roads,1,1,paved,1,1,with,1,1,sticky,1,1,tar,1,1
NAF004,50-01,64,man,1,1,blue,1,1,sweater,1,1,sat,1,1,desk,1,1,man,1,1,blue,1,1,sweater,1,1,sat,1,1,desk,1,1
NAF004,60-09,65,get,0,0,trust,1,1,fund,1,1,bank,1,1,early,1,1,get,0,0,trust,1,1,fund,1,1,bank,1,1,early,1,1
NAF004,22-06,66,large,1,1,house,1,1,hot,0,0,water,0,0,taps,0,0,large,1,1,house,1,1,hot,0,0,water,0,0,taps,0,0
NAF004,36-08,67,our,0,0,plans,1,1,right,1,1,now,1,1,hazy,0,0,our,0,0,plans,1,1,right,1,1,now,1,1,hazy,0,0
NAF004,14-06,68,bring,1,1,your,1,1,problems,1,1,wise,0,0,chief,0,0,bring,1,1,your,1,1,problems,1,1,wise,0,0,chief,0,0
NAF004,65-08,69,pile,1,1,coal,1,1,high,1,1,shed,1,1,corner,0,0,pile,1,1,coal,1,1,high,1,1,shed,1,1,corner,0,0
